route_id,num_stops,amazon_cost_min,dijkstra_cost_min,diff_min,savings_pct
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,119,129.23,128.19,1.05,0.81
RouteID_0016bc70-cb8d-48b0-aa55-8ee50bdcdb59,106,110.8,110.84,-0.04,-0.04
RouteID_001948e9-4675-486d-9ec5-912fd8e0770f,128,164.96,172.24,-7.28,-4.42
RouteID_001b4ee3-c4f2-467f-932b-c85524d1021f,142,158.19,167.37,-9.18,-5.8
RouteID_0021a2aa-780f-460d-b09a-f301709e2523,155,225.39,250.92,-25.53,-11.33
RouteID_0036cf37-1c93-48f8-b337-3dd6d1a195d8,190,205.28,218.69,-13.41,-6.53
RouteID_00437423-5a8f-4fac-8efa-85264f0a3944,161,239.36,267.32,-27.96,-11.68
RouteID_00573a3d-b909-42ee-8a99-c6474309d96b,155,245.26,252.0,-6.74,-2.75
RouteID_00575a14-7d19-4291-8853-8f7095ed1bc6,177,197.33,222.34,-25.02,-12.68
RouteID_00575ca4-8a63-49d2-96c8-9b347be5ba6c,59,73.24,73.03,0.21,0.29
RouteID_00595235-52e7-4b68-883c-70482701dea0,129,118.97,121.67,-2.7,-2.27
RouteID_006f581c-3087-4edf-8802-278b078157b9,185,217.93,249.24,-31.31,-14.37
RouteID_00747543-3f2f-47ae-a2f2-91b30ce207ab,173,182.3,186.79,-4.49,-2.46
RouteID_0074e307-23c1-4b15-afa2-e58b45e4403c,161,173.75,174.35,-0.6,-0.35
RouteID_0076d53c-6bfa-4e22-b39e-08769fb8e4d3,130,174.71,194.9,-20.19,-11.55
RouteID_007a8397-37f4-4775-a452-c6934167526b,176,157.2,171.58,-14.38,-9.15
RouteID_007b8544-11dc-47b2-be61-0095f8f2af71,78,94.91,79.44,15.47,16.3
RouteID_0091a35c-85fa-4b5e-90cf-4778f441753e,145,189.09,188.63,0.46,0.24
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,153,195.18,196.97,-1.79,-0.92
RouteID_00a25e47-65c9-4efc-bfe9-8d9648a0df4e,157,120.91,130.41,-9.5,-7.86
RouteID_00ace8b4-30c6-4a20-a723-74ece636a0da,174,163.29,164.19,-0.9,-0.55
RouteID_00b8cd9c-613a-4519-b3fd-2b7174f1cff3,80,86.51,88.19,-1.68,-1.94
RouteID_00bea18c-ee16-4a18-a916-7a447c733a7d,141,165.07,164.21,0.86,0.52
RouteID_00ca3fbf-8953-4fbb-9c59-96fce68e6504,139,165.47,174.26,-8.79,-5.31
RouteID_00d421bf-f001-4fb0-923e-c343d3d369bc,159,156.84,160.23,-3.39,-2.16
RouteID_00e4885d-4563-4790-bace-6c9e4261ce2a,136,152.82,183.75,-30.93,-20.24
RouteID_00e7fcc6-2f6d-4054-b9ca-e190fa4ecdce,167,201.5,202.38,-0.88,-0.44
RouteID_00ead793-e8f0-4ac6-a2d7-d988f05cc715,198,186.37,176.24,10.13,5.44
RouteID_00f414f8-ff9a-4d98-aca2-a6b991a2037d,164,210.74,205.82,4.92,2.34
RouteID_00f9c249-33cd-4124-9cf2-b970b157a5ca,146,176.47,186.22,-9.75,-5.53
RouteID_00fd7a8d-d5d8-45c0-b710-4ff3e220e6f6,151,177.38,183.38,-5.99,-3.38
RouteID_00fe822e-3d3e-4307-80e2-068b07f6018a,151,146.87,149.36,-2.49,-1.69
RouteID_010bb083-17a6-4036-a14a-01d07aff8950,138,158.5,146.93,11.58,7.3
RouteID_010f2a4e-9f5c-4be7-823d-51d7be4332fe,78,73.43,72.36,1.07,1.46
RouteID_0119890a-9500-448f-a506-29fb49fdf5fe,162,176.41,171.25,5.16,2.92
RouteID_0127b134-186b-4897-8dd8-56afec626082,91,92.07,85.32,6.75,7.33
RouteID_01334670-fb7c-48f9-a1b0-b52b5e56c91e,167,191.28,194.1,-2.82,-1.47
RouteID_013e4370-df62-4c24-a19f-2971db140ca7,192,232.91,256.76,-23.85,-10.24
RouteID_0141eb2b-53e3-40f7-9d9b-c29fdcbf000c,121,99.03,99.34,-0.31,-0.31
RouteID_01456d1f-ab6a-4e6e-b828-8e574033bc55,136,124.61,116.8,7.81,6.27
RouteID_0157f4f0-2c0d-4d24-82a8-71230416bf1c,72,127.98,116.47,11.51,9.0
RouteID_01617cbe-5296-48b5-bfd7-42893812721b,160,183.99,202.02,-18.03,-9.8
RouteID_0168a176-2ddc-4a70-88c3-29588bed32f5,131,96.66,98.5,-1.84,-1.91
RouteID_016e3fb9-486a-4501-aa0a-bfb8b9afa966,96,108.4,116.72,-8.32,-7.67
RouteID_01a602f2-f834-4fd0-89b5-6835f049b19e,155,182.48,196.57,-14.09,-7.72
RouteID_01a73ffc-c1b8-4995-9723-8235ff2ceb6b,172,248.37,258.64,-10.27,-4.13
RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,149,132.56,132.75,-0.19,-0.15
RouteID_01b2ff6b-5070-45fd-b215-c6e0411fb25e,110,126.21,119.04,7.17,5.68
RouteID_01bbc9dd-fc72-4206-a107-81cbb704c4e0,174,178.74,202.18,-23.44,-13.11
RouteID_01becfe4-7127-489c-8a36-7743ac0097fc,162,142.1,139.08,3.02,2.13
RouteID_01c30168-2365-46a5-a1c0-60cfafe18c6f,157,228.37,250.31,-21.95,-9.61
RouteID_01c74dc7-ecde-406d-a7c9-29554f0ba347,116,112.84,119.54,-6.7,-5.93
RouteID_01c9f706-0d46-427b-998c-f1559dda4ad3,151,208.81,205.54,3.28,1.57
RouteID_01d0b1c1-2379-49b8-a24f-db0ae01fb2be,202,203.92,204.84,-0.92,-0.45
RouteID_01e90207-8d40-4ea8-a766-e8fc349171bd,171,187.38,198.09,-10.71,-5.71
RouteID_01e9bcd8-7c3a-4b55-ae2f-192c7cadd0d9,151,150.22,145.58,4.63,3.09
RouteID_01f96ab9-1149-4217-9b7a-5e16faee252f,152,176.64,176.38,0.26,0.15
RouteID_020722cd-bea1-4f01-9d49-bc65a1e51a91,129,119.36,122.44,-3.08,-2.58
RouteID_0229f7ce-11fd-48ec-83a9-892fcebd924e,178,199.25,191.63,7.62,3.83
RouteID_022f1cf8-78ac-47d7-9a0d-4d90394cea95,135,156.92,174.55,-17.63,-11.24
RouteID_0233acdf-6721-4975-b8c4-7d9cbcba11dd,150,176.24,180.16,-3.92,-2.22
RouteID_02388faf-93c8-4ce9-a5d1-62b97b4accf4,156,256.93,254.34,2.59,1.01
RouteID_023c04c1-4b54-46f7-8db1-f6dc945d4ead,167,196.81,208.97,-12.16,-6.18
RouteID_024674c7-4fc7-478b-b341-5f33e15b9f13,137,113.83,123.71,-9.87,-8.67
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,163,223.17,204.86,18.31,8.2
RouteID_025ecb40-3116-45af-b6a1-db5a5531fafc,164,222.72,200.49,22.22,9.98
RouteID_02739d8c-0c91-4cfc-8891-bd24c95e7789,173,226.8,227.53,-0.72,-0.32
RouteID_027b5c34-74cd-4c87-a744-7823fb36e43f,104,95.42,91.21,4.21,4.41
RouteID_02883f75-7507-4664-9a6d-5b963760a087,152,174.02,183.84,-9.82,-5.64
RouteID_028a010c-c9a5-4945-b6e6-953da1eab12b,123,128.09,133.59,-5.5,-4.29
RouteID_028ff4a1-50ed-4882-8445-238fa0c9643c,162,212.02,212.12,-0.09,-0.04
RouteID_029ae9e8-1e14-441b-9db1-595910ce611e,135,110.25,101.05,9.2,8.34
RouteID_02a11297-d6d0-47cd-a802-5c42867381fa,115,138.74,132.93,5.81,4.19
RouteID_02b60f05-f339-4707-9eaa-bd114aefea39,119,145.83,128.15,17.68,12.12
RouteID_02dcbb3e-b9dd-49de-8a36-293ac3dfcaaa,153,206.89,213.52,-6.63,-3.21
RouteID_02e1401a-47ff-4bf9-ab19-99bfb7ab14c7,182,189.88,187.49,2.4,1.26
RouteID_02f5263c-6cae-4a15-9c81-e5394f4c9924,132,167.97,163.84,4.13,2.46
RouteID_02f91cfa-3839-4e55-91a0-ab19c3e77683,83,107.63,87.8,19.83,18.42
RouteID_031284fb-96fa-4f39-b061-e102d2486ceb,185,146.07,169.18,-23.11,-15.82
RouteID_03158a7e-a045-4278-b8e7-8f8998697ecd,161,189.77,175.56,14.2,7.48
RouteID_031818b3-94f1-45fd-9fec-b59162ea09c7,153,192.34,205.41,-13.07,-6.8
RouteID_0318ef67-d23a-4d9a-bbd3-28e5e8a8c4a0,125,158.82,159.05,-0.23,-0.15
